"tipo_vehiculo","anio_inscripcion_inicial","mes_inscripcion_inicial","provincia_inscripcion_inicial","letra_provincia_inscripcion_inicial","cantidad_inscripciones_iniciales","provincia_id"
"Motovehículos",2016,7,"Chubut","U",154,"26"
"Motovehículos",2016,7,"Ciudad Autónoma de Bs.As.","C",1373,"02"
"Motovehículos",2016,7,"Córdoba","X",2604,"14"
"Motovehículos",2016,7,"Corrientes","W",1368,"18"
"Motovehículos",2016,7,"Entre Ríos","E",867,"30"
"Motovehículos",2016,7,"Formosa","P",1388,"34"
"Motovehículos",2016,7,"Jujuy","Y",716,"38"
"Motovehículos",2016,7,"La Pampa","L",382,"42"
"Motovehículos",2016,7,"La Rioja","F",586,"46"
"Motovehículos",2016,7,"Mendoza","M",1230,"50"
"Motovehículos",2016,7,"Misiones","N",1217,"54"
"Motovehículos",2016,7,"Neuquén","Q",446,"58"
"Motovehículos",2016,7,"Río Negro","R",455,"62"
"Motovehículos",2016,7,"Salta","A",1717,"66"
"Motovehículos",2016,7,"San Juan","J",410,"70"
"Motovehículos",2016,7,"San Luis","D",393,"74"
"Motovehículos",2016,7,"Santa Cruz","Z",79,"78"
"Motovehículos",2016,7,"Santa Fe","S",3094,"82"
"Motovehículos",2016,7,"Santiago del Estero","G",1134,"86"
"Motovehículos",2016,7,"Tierra del Fuego","V",29,"94"
"Motovehículos",2016,7,"Tucumán","T",2100,"90"
"Motovehículos",2016,8,"Buenos Aires","B",12166,"06"
"Motovehículos",2016,8,"Catamarca","K",557,"10"
"Motovehículos",2016,8,"Chaco","H",3475,"22"
"Motovehículos",2016,8,"Chubut","U",163,"26"
"Motovehículos",2016,8,"Ciudad Autónoma de Bs.As.","C",1769,"02"
"Motovehículos",2016,8,"Córdoba","X",3548,"14"
"Motovehículos",2016,8,"Corrientes","W",1814,"18"
"Motovehículos",2016,8,"Entre Ríos","E",1184,"30"
"Motovehículos",2016,8,"Formosa","P",1470,"34"
"Motovehículos",2016,8,"Jujuy","Y",881,"38"
"Motovehículos",2016,8,"La Pampa","L",449,"42"
"Motovehículos",2016,8,"La Rioja","F",711,"46"
"Motovehículos",2016,8,"Mendoza","M",1572,"50"
"Motovehículos",2016,8,"Misiones","N",1548,"54"
"Motovehículos",2016,8,"Neuquén","Q",574,"58"
"Motovehículos",2016,8,"Río Negro","R",598,"62"
"Motovehículos",2016,8,"Salta","A",1961,"66"
"Motovehículos",2016,8,"San Juan","J",622,"70"
"Motovehículos",2016,8,"San Luis","D",489,"74"
"Motovehículos",2016,8,"Santa Cruz","Z",82,"78"
"Motovehículos",2016,8,"Santa Fe","S",3935,"82"
"Motovehículos",2016,8,"Santiago del Estero","G",1459,"86"
"Motovehículos",2016,8,"Tierra del Fuego","V",51,"94"
"Motovehículos",2016,8,"Tucumán","T",2578,"90"
"Motovehículos",2016,9,"Buenos Aires","B",12597,"06"
"Motovehículos",2016,9,"Catamarca","K",481,"10"
"Motovehículos",2016,9,"Chaco","H",3057,"22"
"Motovehículos",2016,9,"Chubut","U",187,"26"
"Motovehículos",2016,9,"Ciudad Autónoma de Bs.As.","C",1782,"02"
"Motovehículos",2016,9,"Córdoba","X",3729,"14"
"Motovehículos",2016,9,"Corrientes","W",1641,"18"
"Motovehículos",2016,9,"Entre Ríos","E",1180,"30"
"Motovehículos",2016,9,"Formosa","P",1330,"34"
"Motovehículos",2016,9,"Jujuy","Y",852,"38"
"Motovehículos",2016,9,"La Pampa","L",530,"42"
"Motovehículos",2016,9,"La Rioja","F",861,"46"
"Motovehículos",2016,9,"Mendoza","M",1619,"50"
"Motovehículos",2016,9,"Misiones","N",1106,"54"
"Motovehículos",2016,9,"Neuquén","Q",767,"58"
"Motovehículos",2016,9,"Río Negro","R",733,"62"
"Motovehículos",2016,9,"Salta","A",1868,"66"
"Motovehículos",2016,9,"San Juan","J",684,"70"
"Motovehículos",2016,9,"San Luis","D",584,"74"
"Motovehículos",2016,9,"Santa Cruz","Z",119,"78"
"Motovehículos",2016,9,"Santa Fe","S",4273,"82"
"Motovehículos",2016,9,"Santiago del Estero","G",1501,"86"
"Motovehículos",2016,9,"Tierra del Fuego","V",93,"94"
"Motovehículos",2016,9,"Tucumán","T",2747,"90"
"Motovehículos",2016,10,"Buenos Aires","B",12492,"06"
"Motovehículos",2016,10,"Catamarca","K",484,"10"
"Motovehículos",2016,10,"Chaco","H",2991,"22"
"Motovehículos",2016,10,"Chubut","U",206,"26"
"Motovehículos",2016,10,"Ciudad Autónoma de Bs.As.","C",1708,"02"
"Motovehículos",2016,10,"Córdoba","X",3841,"14"
"Motovehículos",2016,10,"Corrientes","W",1497,"18"
"Motovehículos",2016,10,"Entre Ríos","E",1312,"30"
"Motovehículos",2016,10,"Formosa","P",1178,"34"
"Motovehículos",2016,10,"Jujuy","Y",914,"38"
"Motovehículos",2016,10,"La Pampa","L",451,"42"
"Motovehículos",2016,10,"La Rioja","F",687,"46"
"Motovehículos",2016,10,"Mendoza","M",1595,"50"
"Motovehículos",2016,10,"Misiones","N",1153,"54"
"Motovehículos",2016,10,"Neuquén","Q",677,"58"
"Motovehículos",2016,10,"Río Negro","R",710,"62"
"Motovehículos",2016,10,"Salta","A",1986,"66"
"Motovehículos",2016,10,"San Juan","J",652,"70"
"Motovehículos",2016,10,"San Luis","D",600,"74"
"Motovehículos",2016,10,"Santa Cruz","Z",142,"78"
"Motovehículos",2016,10,"Santa Fe","S",4056,"82"
"Motovehículos",2016,10,"Santiago del Estero","G",1322,"86"
"Motovehículos",2016,10,"Tierra del Fuego","V",99,"94"
"Motovehículos",2016,10,"Tucumán","T",2707,"90"
"Motovehículos",2016,11,"Buenos Aires","B",14091,"06"
"Motovehículos",2016,11,"Catamarca","K",652,"10"
"Motovehículos",2016,11,"Chaco","H",3319,"22"
"Motovehículos",2016,11,"Chubut","U",230,"26"
"Motovehículos",2016,11,"Ciudad Autónoma de Bs.As.","C",1866,"02"
"Motovehículos",2016,11,"Córdoba","X",4194,"14"
"Motovehículos",2016,11,"Corrientes","W",1771,"18"
"Motovehículos",2016,11,"Entre Ríos","E",1371,"30"
"Motovehículos",2016,11,"Formosa","P",1322,"34"
"Motovehículos",2016,11,"Jujuy","Y",1035,"38"
"Motovehículos",2016,11,"La Pampa","L",556,"42"
"Motovehículos",2016,11,"La Rioja","F",904,"46"
"Motovehículos",2016,11,"Mendoza","M",1847,"50"
"Motovehículos",2016,11,"Misiones","N",1208,"54"
"Motovehículos",2016,11,"Neuquén","Q",671,"58"
"Motovehículos",2016,11,"Río Negro","R",782,"62"
"Motovehículos",2016,11,"Salta","A",2377,"66"
"Motovehículos",2016,11,"San Juan","J",666,"70"
"Motovehículos",2016,11,"San Luis","D",624,"74"
"Motovehículos",2016,11,"Santa Cruz","Z",141,"78"
"Motovehículos",2016,11,"Santa Fe","S",4183,"82"
"Motovehículos",2016,11,"Santiago del Estero","G",1506,"86"
"Motovehículos",2016,11,"Tierra del Fuego","V",114,"94"
"Motovehículos",2016,11,"Tucumán","T",3240,"90"
"Motovehículos",2016,12,"Buenos Aires","B",13761,"06"
"Motovehículos",2016,12,"Catamarca","K",646,"10"
"Motovehículos",2016,12,"Chaco","H",3461,"22"
"Motovehículos",2016,12,"Chubut","U",176,"26"
"Motovehículos",2016,12,"Ciudad Autónoma de Bs.As.","C",1778,"02"
"Motovehículos",2016,12,"Córdoba","X",4037,"14"
"Motovehículos",2016,12,"Corrientes","W",1718,"18"
"Motovehículos",2016,12,"Entre Ríos","E",1337,"30"
"Motovehículos",2016,12,"Formosa","P",1407,"34"
"Motovehículos",2016,12,"Jujuy","Y",1203,"38"
"Motovehículos",2016,12,"La Pampa","L",479,"42"
"Motovehículos",2016,12,"La Rioja","F",932,"46"
"Motovehículos",2016,12,"Mendoza","M",1755,"50"
"Motovehículos",2016,12,"Misiones","N",1450,"54"
"Motovehículos",2016,12,"Neuquén","Q",738,"58"
"Motovehículos",2016,12,"Río Negro","R",808,"62"
"Motovehículos",2016,12,"Salta","A",2535,"66"
"Motovehículos",2016,12,"San Juan","J",711,"70"
"Motovehículos",2016,12,"San Luis","D",687,"74"
"Motovehículos",2016,12,"Santa Cruz","Z",153,"78"
"Motovehículos",2016,12,"Santa Fe","S",4450,"82"
"Motovehículos",2016,12,"Santiago del Estero","G",1600,"86"
"Motovehículos",2016,12,"Tierra del Fuego","V",85,"94"
"Motovehículos",2016,12,"Tucumán","T",2911,"90"
"Motovehículos",2017,1,"Buenos Aires","B",20183,"06"
"Motovehículos",2017,1,"Catamarca","K",621,"10"
"Motovehículos",2017,1,"Chaco","H",4008,"22"
"Motovehículos",2017,1,"Chubut","U",331,"26"
"Motovehículos",2017,1,"Ciudad Autónoma de Bs.As.","C",2363,"02"
"Motovehículos",2017,1,"Córdoba","X",6087,"14"
"Motovehículos",2017,1,"Corrientes","W",2236,"18"
"Motovehículos",2017,1,"Entre Ríos","E",1876,"30"
"Motovehículos",2017,1,"Formosa","P",1403,"34"
"Motovehículos",2017,1,"Jujuy","Y",1168,"38"
"Motovehículos",2017,1,"La Pampa","L",773,"42"
"Motovehículos",2017,1,"La Rioja","F",962,"46"
"Motovehículos",2017,1,"Mendoza","M",2445,"50"
"Motovehículos",2017,1,"Misiones","N",1768,"54"
"Motovehículos",2017,1,"Neuquén","Q",852,"58"
"Motovehículos",2017,1,"Río Negro","R",1088,"62"
"Motovehículos",2017,1,"Salta","A",2679,"66"
"Motovehículos",2017,1,"San Juan","J",865,"70"
"Motovehículos",2017,1,"San Luis","D",870,"74"
"Motovehículos",2017,1,"Santa Cruz","Z",128,"78"
"Motovehículos",2017,1,"Santa Fe","S",6402,"82"
"Motovehículos",2017,1,"Santiago del Estero","G",1836,"86"
"Motovehículos",2017,1,"Tierra del Fuego","V",82,"94"
"Motovehículos",2017,1,"Tucumán","T",3540,"90"
"Motovehículos",2017,2,"Buenos Aires","B",14968,"06"
"Motovehículos",2017,2,"Catamarca","K",712,"10"
"Motovehículos",2017,2,"Chaco","H",3324,"22"
"Motovehículos",2017,2,"Chubut","U",256,"26"
"Motovehículos",2017,2,"Ciudad Autónoma de Bs.As.","C",1687,"02"
"Motovehículos",2017,2,"Córdoba","X",4528,"14"
"Motovehículos",2017,2,"Corrientes","W",1824,"18"
"Motovehículos",2017,2,"Entre Ríos","E",1505,"30"
"Motovehículos",2017,2,"Formosa","P",1491,"34"
"Motovehículos",2017,2,"Jujuy","Y",1028,"38"
"Motovehículos",2017,2,"La Pampa","L",530,"42"
"Motovehículos",2017,2,"La Rioja","F",708,"46"
"Motovehículos",2017,2,"Mendoza","M",1916,"50"
"Motovehículos",2017,2,"Misiones","N",1397,"54"
"Motovehículos",2017,2,"Neuquén","Q",685,"58"
"Motovehículos",2017,2,"Río Negro","R",845,"62"
"Motovehículos",2017,2,"Salta","A",1801,"66"
"Motovehículos",2017,2,"San Juan","J",691,"70"
"Motovehículos",2017,2,"San Luis","D",692,"74"
"Motovehículos",2017,2,"Santa Cruz","Z",125,"78"
"Motovehículos",2017,2,"Santa Fe","S",4504,"82"
"Motovehículos",2017,2,"Santiago del Estero","G",1243,"86"
"Motovehículos",2017,2,"Tierra del Fuego","V",43,"94"
"Motovehículos",2017,2,"Tucumán","T",3001,"90"
"Motovehículos",2017,3,"Buenos Aires","B",18784,"06"
"Motovehículos",2017,3,"Catamarca","K",823,"10"
"Motovehículos",2017,3,"Chaco","H",4683,"22"
"Motovehículos",2017,3,"Chubut","U",291,"26"
"Motovehículos",2017,3,"Ciudad Autónoma de Bs.As.","C",2218,"02"
"Motovehículos",2017,3,"Córdoba","X",5878,"14"
"Motovehículos",2017,3,"Corrientes","W",2588,"18"
"Motovehículos",2017,3,"Entre Ríos","E",1944,"30"
"Motovehículos",2017,3,"Formosa","P",1926,"34"
"Motovehículos",2017,3,"Jujuy","Y",1244,"38"
"Motovehículos",2017,3,"La Pampa","L",715,"42"
"Motovehículos",2017,3,"La Rioja","F",1288,"46"
"Motovehículos",2017,3,"Mendoza","M",2639,"50"
"Motovehículos",2017,3,"Misiones","N",1945,"54"
"Motovehículos",2017,3,"Neuquén","Q",800,"58"
"Motovehículos",2017,3,"Río Negro","R",1071,"62"
"Motovehículos",2017,3,"Salta","A",3144,"66"
"Motovehículos",2017,3,"San Juan","J",1244,"70"
"Motovehículos",2017,3,"San Luis","D",939,"74"
"Motovehículos",2017,3,"Santa Cruz","Z",174,"78"
"Motovehículos",2017,3,"Santa Fe","S",5862,"82"
"Motovehículos",2017,3,"Santiago del Estero","G",2101,"86"
"Motovehículos",2017,3,"Tierra del Fuego","V",73,"94"
"Motovehículos",2017,3,"Tucumán","T",4048,"90"
"Motovehículos",2017,4,"Buenos Aires","B",13748,"06"
"Motovehículos",2017,4,"Catamarca","K",939,"10"
"Motovehículos",2017,4,"Chaco","H",3564,"22"
"Motovehículos",2017,4,"Chubut","U",171,"26"
"Motovehículos",2017,4,"Ciudad Autónoma de Bs.As.","C",2010,"02"
"Motovehículos",2017,4,"Córdoba","X",4194,"14"
"Motovehículos",2017,4,"Corrientes","W",2072,"18"
"Motovehículos",2017,4,"Entre Ríos","E",1503,"30"
"Motovehículos",2017,4,"Formosa","P",1611,"34"
"Motovehículos",2017,4,"Jujuy","Y",1124,"38"
"Motovehículos",2017,4,"La Pampa","L",439,"42"
"Motovehículos",2017,4,"La Rioja","F",897,"46"
"Motovehículos",2017,4,"Mendoza","M",1836,"50"
"Motovehículos",2017,4,"Misiones","N",1654,"54"
"Motovehículos",2017,4,"Neuquén","Q",600,"58"
"Motovehículos",2017,4,"Río Negro","R",711,"62"
"Motovehículos",2017,4,"Salta","A",2332,"66"
"Motovehículos",2017,4,"San Juan","J",1056,"70"
"Motovehículos",2017,4,"San Luis","D",625,"74"
"Motovehículos",2017,4,"Santa Cruz","Z",82,"78"
"Motovehículos",2017,4,"Santa Fe","S",4520,"82"
"Motovehículos",2017,4,"Santiago del Estero","G",1767,"86"
"Motovehículos",2017,4,"Tierra del Fuego","V",71,"94"
"Motovehículos",2017,4,"Tucumán","T",2930,"90"
"Motovehículos",2017,5,"Buenos Aires","B",13847,"06"
"Motovehículos",2017,5,"Catamarca","K",949,"10"
"Motovehículos",2017,5,"Chaco","H",3715,"22"
"Motovehículos",2017,5,"Chubut","U",211,"26"
"Motovehículos",2017,5,"Ciudad Autónoma de Bs.As.","C",2064,"02"
"Motovehículos",2017,5,"Córdoba","X",4516,"14"
"Motovehículos",2017,5,"Corrientes","W",2095,"18"
"Motovehículos",2017,5,"Entre Ríos","E",1544,"30"
"Motovehículos",2017,5,"Formosa","P",1826,"34"
"Motovehículos",2017,5,"Jujuy","Y",1558,"38"
"Motovehículos",2017,5,"La Pampa","L",424,"42"
"Motovehículos",2017,5,"La Rioja","F",1056,"46"
"Motovehículos",2017,5,"Mendoza","M",2049,"50"
"Motovehículos",2017,5,"Misiones","N",1499,"54"
"Motovehículos",2017,5,"Neuquén","Q",611,"58"
"Motovehículos",2017,5,"Río Negro","R",725,"62"
"Motovehículos",2017,5,"Salta","A",2517,"66"
"Motovehículos",2017,5,"San Juan","J",1052,"70"
"Motovehículos",2017,5,"San Luis","D",586,"74"
"Motovehículos",2017,5,"Santa Cruz","Z",102,"78"
"Motovehículos",2017,5,"Santa Fe","S",4778,"82"
"Motovehículos",2017,5,"Santiago del Estero","G",2323,"86"
"Motovehículos",2017,5,"Tierra del Fuego","V",61,"94"
"Motovehículos",2017,5,"Tucumán","T",3388,"90"
"Motovehículos",2017,6,"Buenos Aires","B",11390,"06"
"Motovehículos",2017,6,"Catamarca","K",728,"10"
"Motovehículos",2017,6,"Chaco","H",3709,"22"
"Motovehículos",2017,6,"Chubut","U",235,"26"
"Motovehículos",2017,6,"Ciudad Autónoma de Bs.As.","C",1654,"02"
"Motovehículos",2017,6,"Córdoba","X",3761,"14"
"Motovehículos",2017,6,"Corrientes","W",1943,"18"
"Motovehículos",2017,6,"Entre Ríos","E",1163,"30"
"Motovehículos",2017,6,"Formosa","P",1377,"34"
"Motovehículos",2017,6,"Jujuy","Y",1373,"38"
"Motovehículos",2017,6,"La Pampa","L",416,"42"
"Motovehículos",2017,6,"La Rioja","F",986,"46"
"Motovehículos",2017,6,"Mendoza","M",2098,"50"
"Motovehículos",2017,6,"Misiones","N",1311,"54"
"Motovehículos",2017,6,"Neuquén","Q",474,"58"
"Motovehículos",2017,6,"Río Negro","R",578,"62"
"Motovehículos",2017,6,"Salta","A",2061,"66"
"Motovehículos",2017,6,"San Juan","J",812,"70"
"Motovehículos",2017,6,"San Luis","D",521,"74"
"Motovehículos",2017,6,"Santa Cruz","Z",72,"78"
"Motovehículos",2017,6,"Santa Fe","S",4440,"82"
"Motovehículos",2017,6,"Santiago del Estero","G",2130,"86"
"Motovehículos",2017,6,"Tierra del Fuego","V",39,"94"
"Motovehículos",2017,6,"Tucumán","T",3075,"90"
"Motovehículos",2017,7,"Buenos Aires","B",12992,"06"
"Motovehículos",2017,7,"Catamarca","K",856,"10"
"Motovehículos",2017,7,"Chaco","H",4386,"22"
"Motovehículos",2017,7,"Chubut","U",168,"26"
"Motovehículos",2017,7,"Ciudad Autónoma de Bs.As.","C",1703,"02"
"Motovehículos",2017,7,"Córdoba","X",4523,"14"
"Motovehículos",2017,7,"Corrientes","W",2316,"18"
"Motovehículos",2017,7,"Entre Ríos","E",1341,"30"
"Motovehículos",2017,7,"Formosa","P",1692,"34"
"Motovehículos",2017,7,"Jujuy","Y",1385,"38"
"Motovehículos",2017,7,"La Pampa","L",450,"42"
"Motovehículos",2017,7,"La Rioja","F",1057,"46"
"Motovehículos",2017,7,"Mendoza","M",1726,"50"
"Motovehículos",2017,7,"Misiones","N",1716,"54"
"Motovehículos",2017,7,"Neuquén","Q",499,"58"
"Motovehículos",2017,7,"Río Negro","R",568,"62"
"Motovehículos",2017,7,"Salta","A",2479,"66"
"Motovehículos",2017,7,"San Juan","J",874,"70"
"Motovehículos",2017,7,"San Luis","D",637,"74"
"Motovehículos",2017,7,"Santa Cruz","Z",79,"78"
"Motovehículos",2017,7,"Santa Fe","S",5276,"82"
"Motovehículos",2017,7,"Santiago del Estero","G",2125,"86"
"Motovehículos",2017,7,"Tierra del Fuego","V",45,"94"
"Motovehículos",2017,7,"Tucumán","T",3330,"90"
"Motovehículos",2017,8,"Buenos Aires","B",15480,"06"
"Motovehículos",2017,8,"Catamarca","K",923,"10"
"Motovehículos",2017,8,"Chaco","H",5063,"22"
"Motovehículos",2017,8,"Chubut","U",225,"26"
"Motovehículos",2017,8,"Ciudad Autónoma de Bs.As.","C",2119,"02"
"Motovehículos",2017,8,"Córdoba","X",5071,"14"
"Motovehículos",2017,8,"Corrientes","W",2473,"18"
"Motovehículos",2017,8,"Entre Ríos","E",1518,"30"
"Motovehículos",2017,8,"Formosa","P",2137,"34"
"Motovehículos",2017,8,"Jujuy","Y",1423,"38"
"Motovehículos",2017,8,"La Pampa","L",429,"42"
"Motovehículos",2017,8,"La Rioja","F",1105,"46"
"Motovehículos",2017,8,"Mendoza","M",2215,"50"
"Motovehículos",2017,8,"Misiones","N",2015,"54"
"Motovehículos",2017,8,"Neuquén","Q",518,"58"
"Motovehículos",2017,8,"Río Negro","R",679,"62"
"Motovehículos",2017,8,"Salta","A",2614,"66"
"Motovehículos",2017,8,"San Juan","J",1076,"70"
"Motovehículos",2017,8,"San Luis","D",857,"74"
"Motovehículos",2017,8,"Santa Cruz","Z",77,"78"
"Motovehículos",2017,8,"Santa Fe","S",5708,"82"
"Motovehículos",2017,8,"Santiago del Estero","G",2334,"86"
"Motovehículos",2017,8,"Tierra del Fuego","V",64,"94"
"Motovehículos",2017,8,"Tucumán","T",3623,"90"
"Motovehículos",2017,9,"Buenos Aires","B",16024,"06"
"Motovehículos",2017,9,"Catamarca","K",848,"10"
"Motovehículos",2017,9,"Chaco","H",5505,"22"
"Motovehículos",2017,9,"Chubut","U",291,"26"
"Motovehículos",2017,9,"Ciudad Autónoma de Bs.As.","C",2219,"02"
"Motovehículos",2017,9,"Córdoba","X",5304,"14"
"Motovehículos",2017,9,"Corrientes","W",2439,"18"
"Motovehículos",2017,9,"Entre Ríos","E",1618,"30"
"Motovehículos",2017,9,"Formosa","P",2323,"34"
"Motovehículos",2017,9,"Jujuy","Y",1372,"38"
