"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Motovehículos",2022,6,"La Pampa","L",429,"42"
"Motovehículos",2022,6,"La Rioja","F",212,"46"
"Motovehículos",2022,6,"Mendoza","M",1396,"50"
"Motovehículos",2022,6,"Misiones","N",538,"54"
"Motovehículos",2022,6,"Neuquén","Q",367,"58"
"Motovehículos",2022,6,"Río Negro","R",369,"62"
"Motovehículos",2022,6,"Salta","A",259,"66"
"Motovehículos",2022,6,"San Juan","J",358,"70"
"Motovehículos",2022,6,"San Luis","D",405,"74"
"Motovehículos",2022,6,"Santa Cruz","Z",40,"78"
"Motovehículos",2022,6,"Santa Fe","S",4611,"82"
"Motovehículos",2022,6,"Santiago del Estero","G",369,"86"
"Motovehículos",2022,6,"Tierra del Fuego","V",34,"94"
"Motovehículos",2022,6,"Tucumán","T",681,"90"
"Motovehículos",2022,7,"Buenos Aires","B",14010,"06"
"Motovehículos",2022,7,"Catamarca","K",170,"10"
"Motovehículos",2022,7,"Chaco","H",626,"22"
"Motovehículos",2022,7,"Chubut","U",190,"26"
"Motovehículos",2022,7,"Ciudad Autónoma de Bs.As.","C",1555,"02"
"Motovehículos",2022,7,"Córdoba","X",5133,"14"
"Motovehículos",2022,7,"Corrientes","W",742,"18"
"Motovehículos",2022,7,"Entre Ríos","E",1805,"30"
"Motovehículos",2022,7,"Formosa","P",210,"34"
"Motovehículos",2022,7,"Jujuy","Y",175,"38"
"Motovehículos",2022,7,"La Pampa","L",533,"42"
"Motovehículos",2022,7,"La Rioja","F",210,"46"
"Motovehículos",2022,7,"Mendoza","M",1397,"50"
"Motovehículos",2022,7,"Misiones","N",675,"54"
"Motovehículos",2022,7,"Neuquén","Q",353,"58"
"Motovehículos",2022,7,"Río Negro","R",373,"62"
"Motovehículos",2022,7,"Salta","A",278,"66"
"Motovehículos",2022,7,"San Juan","J",458,"70"
"Motovehículos",2022,7,"San Luis","D",401,"74"
"Motovehículos",2022,7,"Santa Cruz","Z",42,"78"
"Motovehículos",2022,7,"Santa Fe","S",5009,"82"
"Motovehículos",2022,7,"Santiago del Estero","G",304,"86"
"Motovehículos",2022,7,"Tierra del Fuego","V",57,"94"
"Motovehículos",2022,7,"Tucumán","T",746,"90"
"Motovehículos",2022,8,"Buenos Aires","B",14550,"06"
"Motovehículos",2022,8,"Catamarca","K",144,"10"
"Motovehículos",2022,8,"Chaco","H",661,"22"
"Motovehículos",2022,8,"Chubut","U",228,"26"
"Motovehículos",2022,8,"Ciudad Autónoma de Bs.As.","C",1722,"02"
"Motovehículos",2022,8,"Córdoba","X",5328,"14"
"Motovehículos",2022,8,"Corrientes","W",741,"18"
"Motovehículos",2022,8,"Entre Ríos","E",2050,"30"
"Motovehículos",2022,8,"Formosa","P",223,"34"
"Motovehículos",2022,8,"Jujuy","Y",142,"38"
"Motovehículos",2022,8,"La Pampa","L",506,"42"
"Motovehículos",2022,8,"La Rioja","F",229,"46"
"Motovehículos",2022,8,"Mendoza","M",1541,"50"
"Motovehículos",2022,8,"Misiones","N",657,"54"
"Motovehículos",2022,8,"Neuquén","Q",437,"58"
"Motovehículos",2022,8,"Río Negro","R",424,"62"
