"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Maquinarias",2014,1,"Misiones","N",0,"54"
"Maquinarias",2014,1,"Neuquén","Q",1,"58"
"Maquinarias",2014,1,"Río Negro","R",1,"62"
"Maquinarias",2014,1,"Salta","A",5,"66"
"Maquinarias",2014,1,"San Juan","J",0,"70"
"Maquinarias",2014,1,"San Luis","D",2,"74"
"Maquinarias",2014,1,"Santa Cruz","Z",1,"78"
"Maquinarias",2014,1,"Santa Fe","S",55,"82"
"Maquinarias",2014,1,"Santiago del Estero","G",1,"86"
"Maquinarias",2014,1,"Tierra del Fuego","V",0,"94"
"Maquinarias",2014,1,"Tucumán","T",1,"90"
"Maquinarias",2014,2,"Buenos Aires","B",104,"06"
"Maquinarias",2014,2,"Catamarca","K",0,"10"
"Maquinarias",2014,2,"Chaco","H",8,"22"
"Maquinarias",2014,2,"Chubut","U",4,"26"
"Maquinarias",2014,2,"Ciudad Autónoma de Bs.As.","C",137,"02"
"Maquinarias",2014,2,"Córdoba","X",109,"14"
"Maquinarias",2014,2,"Corrientes","W",0,"18"
"Maquinarias",2014,2,"Entre Ríos","E",10,"30"
"Maquinarias",2014,2,"Formosa","P",0,"34"
"Maquinarias",2014,2,"Jujuy","Y",2,"38"
"Maquinarias",2014,2,"La Pampa","L",4,"42"
"Maquinarias",2014,2,"Mendoza","M",10,"50"
"Maquinarias",2014,2,"Misiones","N",0,"54"
"Maquinarias",2014,2,"Neuquén","Q",0,"58"
"Maquinarias",2014,2,"Río Negro","R",1,"62"
"Maquinarias",2014,2,"Salta","A",3,"66"
"Maquinarias",2014,2,"San Juan","J",3,"70"
"Maquinarias",2014,2,"San Luis","D",2,"74"
"Maquinarias",2014,2,"Santa Cruz","Z",3,"78"
"Maquinarias",2014,2,"Santa Fe","S",83,"82"
"Maquinarias",2014,2,"Santiago del Estero","G",7,"86"
"Maquinarias",2014,2,"Tierra del Fuego","V",0,"94"
"Maquinarias",2014,2,"Tucumán","T",7,"90"
"Maquinarias",2014,3,"Buenos Aires","B",78,"06"
"Maquinarias",2014,3,"Catamarca","K",0,"10"
"Maquinarias",2014,3,"Chaco","H",5,"22"
"Maquinarias",2014,3,"Chubut","U",3,"26"
"Maquinarias",2014,3,"Ciudad Autónoma de Bs.As.","C",143,"02"
"Maquinarias",2014,3,"Córdoba","X",117,"14"
"Maquinarias",2014,3,"Corrientes","W",5,"18"
"Maquinarias",2014,3,"Entre Ríos","E",14,"30"
"Maquinarias",2014,3,"Formosa","P",2,"34"
"Maquinarias",2014,3,"Jujuy","Y",0,"38"
"Maquinarias",2014,3,"La Pampa","L",11,"42"
"Maquinarias",2014,3,"Mendoza","M",3,"50"
"Maquinarias",2014,3,"Misiones","N",2,"54"
"Maquinarias",2014,3,"Neuquén","Q",3,"58"
"Maquinarias",2014,3,"Río Negro","R",2,"62"
"Maquinarias",2014,3,"Salta","A",5,"66"
"Maquinarias",2014,3,"San Juan","J",0,"70"
"Maquinarias",2014,3,"San Luis","D",7,"74"
"Maquinarias",2014,3,"Santa Cruz","Z",3,"78"
"Maquinarias",2014,3,"Santa Fe","S",95,"82"
