"tipo_vehiculo","anio_inscripcion_inicial","mes_inscripcion_inicial","provincia_inscripcion_inicial","letra_provincia_inscripcion_inicial","cantidad_inscripciones_iniciales","provincia_id"
"Maquinarias",2014,1,"La Rioja","F",1,"46"
"Maquinarias",2014,1,"Mendoza","M",55,"50"
"Maquinarias",2014,1,"Misiones","N",18,"54"
"Maquinarias",2014,1,"Neuquén","Q",2,"58"
"Maquinarias",2014,1,"Río Negro","R",14,"62"
"Maquinarias",2014,1,"Salta","A",10,"66"
"Maquinarias",2014,1,"San Juan","J",7,"70"
"Maquinarias",2014,1,"San Luis","D",5,"74"
"Maquinarias",2014,1,"Santa Cruz","Z",3,"78"
"Maquinarias",2014,1,"Santa Fe","S",123,"82"
"Maquinarias",2014,1,"Santiago del Estero","G",8,"86"
"Maquinarias",2014,1,"Tierra del Fuego","V",0,"94"
"Maquinarias",2014,1,"Tucumán","T",12,"90"
"Maquinarias",2014,2,"Buenos Aires","B",157,"06"
"Maquinarias",2014,2,"Catamarca","K",1,"10"
"Maquinarias",2014,2,"Chaco","H",15,"22"
"Maquinarias",2014,2,"Chubut","U",5,"26"
"Maquinarias",2014,2,"Ciudad Autónoma de Bs.As.","C",199,"02"
"Maquinarias",2014,2,"Córdoba","X",142,"14"
"Maquinarias",2014,2,"Corrientes","W",7,"18"
"Maquinarias",2014,2,"Entre Ríos","E",28,"30"
"Maquinarias",2014,2,"Formosa","P",5,"34"
"Maquinarias",2014,2,"Jujuy","Y",8,"38"
"Maquinarias",2014,2,"La Pampa","L",15,"42"
"Maquinarias",2014,2,"La Rioja","F",5,"46"
"Maquinarias",2014,2,"Mendoza","M",17,"50"
"Maquinarias",2014,2,"Misiones","N",8,"54"
"Maquinarias",2014,2,"Neuquén","Q",6,"58"
"Maquinarias",2014,2,"Río Negro","R",7,"62"
"Maquinarias",2014,2,"Salta","A",10,"66"
"Maquinarias",2014,2,"San Juan","J",2,"70"
"Maquinarias",2014,2,"San Luis","D",0,"74"
"Maquinarias",2014,2,"Santa Cruz","Z",5,"78"
"Maquinarias",2014,2,"Santa Fe","S",124,"82"
"Maquinarias",2014,2,"Santiago del Estero","G",3,"86"
"Maquinarias",2014,2,"Tierra del Fuego","V",0,"94"
"Maquinarias",2014,2,"Tucumán","T",12,"90"
"Maquinarias",2014,3,"Buenos Aires","B",143,"06"
"Maquinarias",2014,3,"Catamarca","K",5,"10"
"Maquinarias",2014,3,"Chaco","H",8,"22"
"Maquinarias",2014,3,"Chubut","U",8,"26"
"Maquinarias",2014,3,"Ciudad Autónoma de Bs.As.","C",175,"02"
"Maquinarias",2014,3,"Córdoba","X",95,"14"
"Maquinarias",2014,3,"Corrientes","W",9,"18"
"Maquinarias",2014,3,"Entre Ríos","E",29,"30"
"Maquinarias",2014,3,"Formosa","P",11,"34"
"Maquinarias",2014,3,"Jujuy","Y",0,"38"
"Maquinarias",2014,3,"La Pampa","L",11,"42"
"Maquinarias",2014,3,"La Rioja","F",0,"46"
"Maquinarias",2014,3,"Mendoza","M",21,"50"
"Maquinarias",2014,3,"Misiones","N",3,"54"
"Maquinarias",2014,3,"Neuquén","Q",10,"58"
"Maquinarias",2014,3,"Río Negro","R",2,"62"
"Maquinarias",2014,3,"Salta","A",21,"66"
"Maquinarias",2014,3,"San Juan","J",5,"70"
"Maquinarias",2014,3,"San Luis","D",4,"74"
"Maquinarias",2014,3,"Santa Cruz","Z",3,"78"
"Maquinarias",2014,3,"Santa Fe","S",83,"82"
"Maquinarias",2014,3,"Santiago del Estero","G",6,"86"
"Maquinarias",2014,3,"Tierra del Fuego","V",0,"94"
"Maquinarias",2014,3,"Tucumán","T",7,"90"
"Maquinarias",2014,4,"Buenos Aires","B",128,"06"
"Maquinarias",2014,4,"Catamarca","K",2,"10"
"Maquinarias",2014,4,"Chaco","H",14,"22"
"Maquinarias",2014,4,"Chubut","U",4,"26"
"Maquinarias",2014,4,"Ciudad Autónoma de Bs.As.","C",226,"02"
"Maquinarias",2014,4,"Córdoba","X",119,"14"
"Maquinarias",2014,4,"Corrientes","W",8,"18"
"Maquinarias",2014,4,"Entre Ríos","E",24,"30"
"Maquinarias",2014,4,"Formosa","P",16,"34"
"Maquinarias",2014,4,"Jujuy","Y",4,"38"
"Maquinarias",2014,4,"La Pampa","L",5,"42"
"Maquinarias",2014,4,"La Rioja","F",0,"46"
"Maquinarias",2014,4,"Mendoza","M",17,"50"
"Maquinarias",2014,4,"Misiones","N",2,"54"
"Maquinarias",2014,4,"Neuquén","Q",10,"58"
"Maquinarias",2014,4,"Río Negro","R",5,"62"
"Maquinarias",2014,4,"Salta","A",12,"66"
"Maquinarias",2014,4,"San Juan","J",2,"70"
"Maquinarias",2014,4,"San Luis","D",7,"74"
"Maquinarias",2014,4,"Santa Cruz","Z",7,"78"
"Maquinarias",2014,4,"Santa Fe","S",106,"82"
"Maquinarias",2014,4,"Santiago del Estero","G",8,"86"
"Maquinarias",2014,4,"Tierra del Fuego","V",1,"94"
"Maquinarias",2014,4,"Tucumán","T",11,"90"
"Maquinarias",2014,5,"Buenos Aires","B",156,"06"
"Maquinarias",2014,5,"Catamarca","K",1,"10"
"Maquinarias",2014,5,"Chaco","H",33,"22"
"Maquinarias",2014,5,"Chubut","U",8,"26"
"Maquinarias",2014,5,"Ciudad Autónoma de Bs.As.","C",242,"02"
"Maquinarias",2014,5,"Córdoba","X",126,"14"
"Maquinarias",2014,5,"Corrientes","W",18,"18"
"Maquinarias",2014,5,"Entre Ríos","E",35,"30"
"Maquinarias",2014,5,"Formosa","P",5,"34"
"Maquinarias",2014,5,"Jujuy","Y",4,"38"
"Maquinarias",2014,5,"La Pampa","L",12,"42"
"Maquinarias",2014,5,"La Rioja","F",0,"46"
"Maquinarias",2014,5,"Mendoza","M",34,"50"
"Maquinarias",2014,5,"Misiones","N",7,"54"
"Maquinarias",2014,5,"Neuquén","Q",6,"58"
"Maquinarias",2014,5,"Río Negro","R",6,"62"
"Maquinarias",2014,5,"Salta","A",13,"66"
"Maquinarias",2014,5,"San Juan","J",2,"70"
"Maquinarias",2014,5,"San Luis","D",3,"74"
"Maquinarias",2014,5,"Santa Cruz","Z",2,"78"
"Maquinarias",2014,5,"Santa Fe","S",122,"82"
"Maquinarias",2014,5,"Santiago del Estero","G",6,"86"
"Maquinarias",2014,5,"Tierra del Fuego","V",0,"94"
"Maquinarias",2014,5,"Tucumán","T",13,"90"
"Maquinarias",2014,6,"Buenos Aires","B",128,"06"
"Maquinarias",2014,6,"Catamarca","K",2,"10"
"Maquinarias",2014,6,"Chaco","H",24,"22"
"Maquinarias",2014,6,"Chubut","U",10,"26"
"Maquinarias",2014,6,"Ciudad Autónoma de Bs.As.","C",249,"02"
"Maquinarias",2014,6,"Córdoba","X",139,"14"
"Maquinarias",2014,6,"Corrientes","W",12,"18"
"Maquinarias",2014,6,"Entre Ríos","E",45,"30"
"Maquinarias",2014,6,"Formosa","P",4,"34"
"Maquinarias",2014,6,"Jujuy","Y",7,"38"
"Maquinarias",2014,6,"La Pampa","L",8,"42"
"Maquinarias",2014,6,"La Rioja","F",3,"46"
"Maquinarias",2014,6,"Mendoza","M",28,"50"
"Maquinarias",2014,6,"Misiones","N",4,"54"
"Maquinarias",2014,6,"Neuquén","Q",23,"58"
"Maquinarias",2014,6,"Río Negro","R",7,"62"
"Maquinarias",2014,6,"Salta","A",13,"66"
"Maquinarias",2014,6,"San Juan","J",5,"70"
"Maquinarias",2014,6,"San Luis","D",4,"74"
"Maquinarias",2014,6,"Santa Cruz","Z",6,"78"
"Maquinarias",2014,6,"Santa Fe","S",107,"82"
"Maquinarias",2014,6,"Santiago del Estero","G",6,"86"
"Maquinarias",2014,6,"Tierra del Fuego","V",3,"94"
"Maquinarias",2014,6,"Tucumán","T",15,"90"
"Maquinarias",2014,7,"Buenos Aires","B",157,"06"
"Maquinarias",2014,7,"Catamarca","K",1,"10"
"Maquinarias",2014,7,"Chaco","H",25,"22"
"Maquinarias",2014,7,"Chubut","U",5,"26"
"Maquinarias",2014,7,"Ciudad Autónoma de Bs.As.","C",266,"02"
"Maquinarias",2014,7,"Córdoba","X",93,"14"
"Maquinarias",2014,7,"Corrientes","W",8,"18"
"Maquinarias",2014,7,"Entre Ríos","E",24,"30"
"Maquinarias",2014,7,"Formosa","P",7,"34"
"Maquinarias",2014,7,"Jujuy","Y",7,"38"
"Maquinarias",2014,7,"La Pampa","L",7,"42"
"Maquinarias",2014,7,"La Rioja","F",2,"46"
"Maquinarias",2014,7,"Mendoza","M",37,"50"
"Maquinarias",2014,7,"Misiones","N",3,"54"
"Maquinarias",2014,7,"Neuquén","Q",19,"58"
"Maquinarias",2014,7,"Río Negro","R",13,"62"
"Maquinarias",2014,7,"Salta","A",7,"66"
"Maquinarias",2014,7,"San Juan","J",6,"70"
"Maquinarias",2014,7,"San Luis","D",10,"74"
"Maquinarias",2014,7,"Santa Cruz","Z",7,"78"
"Maquinarias",2014,7,"Santa Fe","S",121,"82"
"Maquinarias",2014,7,"Santiago del Estero","G",0,"86"
"Maquinarias",2014,7,"Tierra del Fuego","V",3,"94"
"Maquinarias",2014,7,"Tucumán","T",9,"90"
"Maquinarias",2014,8,"Buenos Aires","B",131,"06"
"Maquinarias",2014,8,"Catamarca","K",1,"10"
"Maquinarias",2014,8,"Chaco","H",15,"22"
"Maquinarias",2014,8,"Chubut","U",17,"26"
"Maquinarias",2014,8,"Ciudad Autónoma de Bs.As.","C",234,"02"
"Maquinarias",2014,8,"Córdoba","X",120,"14"
"Maquinarias",2014,8,"Corrientes","W",10,"18"
"Maquinarias",2014,8,"Entre Ríos","E",34,"30"
"Maquinarias",2014,8,"Formosa","P",7,"34"
"Maquinarias",2014,8,"Jujuy","Y",5,"38"
"Maquinarias",2014,8,"La Pampa","L",10,"42"
"Maquinarias",2014,8,"La Rioja","F",1,"46"
"Maquinarias",2014,8,"Mendoza","M",34,"50"
"Maquinarias",2014,8,"Misiones","N",5,"54"
"Maquinarias",2014,8,"Neuquén","Q",5,"58"
"Maquinarias",2014,8,"Río Negro","R",3,"62"
"Maquinarias",2014,8,"Salta","A",14,"66"
"Maquinarias",2014,8,"San Juan","J",4,"70"
"Maquinarias",2014,8,"San Luis","D",6,"74"
"Maquinarias",2014,8,"Santa Cruz","Z",4,"78"
"Maquinarias",2014,8,"Santa Fe","S",125,"82"
"Maquinarias",2014,8,"Santiago del Estero","G",12,"86"
"Maquinarias",2014,8,"Tierra del Fuego","V",5,"94"
"Maquinarias",2014,8,"Tucumán","T",13,"90"
"Maquinarias",2014,9,"Buenos Aires","B",158,"06"
